HMDB	Formula	Mass	InchiKey	Inchi	SMILES	HMDB Name
HMDB00696	C5H11NO2S	149.0510493	FFEARJCKVFRZRR-BYPYZUCNSA-N	1S/C5H11NO2S/c1-9-3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)/t4-/m0/s1	CSCC[C@H](N)C(O)=O	L-Methionine
HMDB01856	C7H6O4	154.0266087	YQUVCSBJEUQKSH-UHFFFAOYSA-N	1S/C7H6O4/c8-5-2-1-4(7(10)11)3-6(5)9/h1-3,8-9H,(H,10,11)	OC(=O)C1=CC(O)=C(O)C=C1	Protocatechuic acid
HMDB00174	C6H12O5	164.0684735	SHZGCJCMOBCMKK-DHVFOXMCSA-N	1S/C6H12O5/c1-2-3(7)4(8)5(9)6(10)11-2/h2-10H,1H3/t2-,3+,4+,5-,6?/m0/s1	C[C@@H]1OC(O)[C@@H](O)[C@H](O)[C@@H]1O	L-Fucose
HMDB00126	C3H9O6P	172.0136745	AWUCVROLDVIAJX-GSVOUGTGSA-N	1S/C3H9O6P/c4-1-3(5)2-9-10(6,7)8/h3-5H,1-2H2,(H2,6,7,8)/t3-/m1/s1	OC[C@@H](O)COP(O)(O)=O	Glycerol 3-phosphate
HMDB00259	C10H12N2O	176.094963	QZAYGJVTTNCVMB-UHFFFAOYSA-N	1S/C10H12N2O/c11-4-3-7-6-12-10-2-1-8(13)5-9(7)10/h1-2,5-6,12-13H,3-4,11H2	NCCC1=CNC2=CC=C(O)C=C12	Serotonin
HMDB01889	C7H8N4O2	180.0647255	ZFXYFBGIUFBOJW-UHFFFAOYSA-N	1S/C7H8N4O2/c1-10-5-4(8-3-9-5)6(12)11(2)7(10)13/h3H,1-2H3,(H,8,9)	CN1C2=C(NC=N2)C(=O)N(C)C1=O	Theophylline
HMDB00715	C10H7NO3	189.0425931	HCZHHEIFKROPDY-UHFFFAOYSA-N	1S/C10H7NO3/c12-9-5-8(10(13)14)11-7-4-2-1-3-6(7)9/h1-5H,(H,11,12)(H,13,14)	OC(=O)C1=CC(=O)C2=CC=CC=C2N1	Kynurenic acid
HMDB01256	C10H26N4	202.2157469	PFNFFQXMRSDOHW-UHFFFAOYSA-N	1S/C10H26N4/c11-5-3-9-13-7-1-2-8-14-10-4-6-12/h13-14H,1-12H2	NCCCNCCCCNCCCN	Spermine
HMDB00472	C11H12N2O3	220.0847923	LDCYZAJDBXYCGN-UHFFFAOYSA-N	1S/C11H12N2O3/c12-9(11(15)16)3-6-5-13-10-2-1-7(14)4-8(6)10/h1-2,4-5,9,13-14H,3,12H2,(H,15,16)	NC(CC1=CNC2=C1C=C(O)C=C2)C(O)=O	5-Hydroxy-L-tryptophan
HMDB01186	C12H28N4O	244.2263115	GUNURVWAJRRUAV-UHFFFAOYSA-N	1S/C12H28N4O/c1-12(17)16-11-5-10-15-8-3-2-7-14-9-4-6-13/h14-15H,2-11,13H2,1H3,(H,16,17)	CC(=O)NCCCNCCCCNCCCN	N1-Acetylspermine
HMDB00195	C10H12N4O5	268.0807695	UGQMRVRMYYASKQ-KQYNXXCUSA-N	1S/C10H12N4O5/c15-1-4-6(16)7(17)10(19-4)14-3-13-5-8(14)11-2-12-9(5)18/h2-4,6-7,10,15-17H,1H2,(H,11,12,18)/t4-,6-,7-,10-/m1/s1	OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CNC2=O	Inosine
HMDB00125	C10H17N3O6S	307.083806	RWSXRVCMGQZWBV-WDSKDSINSA-N	1S/C10H17N3O6S/c11-5(10(18)19)1-2-7(14)13-6(4-20)9(17)12-3-8(15)16/h5-6,20H,1-4,11H2,(H,12,17)(H,13,14)(H,15,16)(H,18,19)/t5-,6-/m0/s1	N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O	Glutathione
HMDB00163	C12H22O11	342.1162115	GUBGYTABKSRVRQ-DKBJLJRDSA-N	1S/C12H22O11/c13-1-3-5(15)6(16)9(19)12(22-3)23-10-4(2-14)21-11(20)8(18)7(10)17/h3-20H,1-2H2/t3-,4-,5-,6+,7-,8+,9-,10-,11+,12-/m1/s1	OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O	D-Maltose
HMDB00939	C14H20N6O5S	384.1215885	ZJUKTBDSGOFHSH-WFMPWKQPSA-N	1S/C14H20N6O5S/c15-6(14(23)24)1-2-26-3-7-9(21)10(22)13(25-7)20-5-19-8-11(16)17-4-18-12(8)20/h4-7,9-10,13,21-22H,1-3,15H2,(H,23,24)(H2,16,17,18)/t6-,7+,9+,10+,13+/m0/s1	N[C@@H](CCSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(N)N=CN=C12)C(O)=O	S-Adenosylhomocysteine
HMDB03335	C10H14N4O11P2	428.0134303	JPXZQMKKFWMMGK-VTHZCTBJSA-N	1S/C10H14N4O11P2/c15-6-4(1-23-27(21,22)25-26(18,19)20)24-10(7(6)16)14-3-13-5-8(14)11-2-12-9(5)17/h2-4,6-7,10,15-16H,1H2,(H,21,22)(H,11,12,17)(H2,18,19,20)/t4-,6-,7-,10?/m1/s1	O[C@@H]1[C@@H](COP(O)(=O)OP(O)(O)=O)OC([C@@H]1O)N1C=NC2=C1NC=NC2=O	IDP
HMDB01440	C10H16N5O13P3	506.9957452	HAAZLUGHYHWQIW-KVQBGUIXSA-N	1S/C10H16N5O13P3/c11-10-13-8-7(9(17)14-10)12-3-15(8)6-1-4(16)5(26-6)2-25-30(21,22)28-31(23,24)27-29(18,19)20/h3-6,16H,1-2H2,(H,21,22)(H,23,24)(H2,18,19,20)(H3,11,13,14,17)/t4-,5+,6+/m0/s1	NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O2)C(=O)N1	dGTP
HMDB00885	C43H76O2	624.5845317	BBJQPKLGPMQWBU-JADYGXMDSA-N	1S/C43H76O2/c1-7-8-9-10-11-12-13-14-15-16-17-18-19-23-41(44)45-36-28-30-42(5)35(32-36)24-25-37-39-27-26-38(34(4)22-20-21-33(2)3)43(39,6)31-29-40(37)42/h24,33-34,36-40H,7-23,25-32H2,1-6H3/t34-,36+,37+,38-,39+,40+,42+,43-/m1/s1	[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC(=O)CCCCCCCCCCCCCCC)[C@H](C)CCCC(C)C	CE(16:0)
HMDB30124	C5H10O	86.07316494	ASUAYTHWZCLXAN-UHFFFAOYSA-N	1S/C5H10O/c1-5(2)3-4-6/h3,6H,4H2,1-2H3	CC(C)=CCO	Prenol
HMDB00060	C4H6O3	102.0316941	WDJHALXBUFZDSR-UHFFFAOYSA-N	1S/C4H6O3/c1-3(5)2-4(6)7/h2H2,1H3,(H,6,7)	CC(=O)CC(O)=O	Acetoacetic acid
HMDB00957	C6H6O2	110.0367794	YCIMNLLNPGFGHC-UHFFFAOYSA-N	1S/C6H6O2/c7-5-3-1-2-4-6(5)8/h1-4,7-8H	OC1=CC=CC=C1O	Pyrocatechol
HMDB03355	C5H11NO2	117.0789786	JJMDCOVWQOJGCB-UHFFFAOYSA-N	1S/C5H11NO2/c6-4-2-1-3-5(7)8/h1-4,6H2,(H,7,8)	NCCCCC(O)=O	5-Aminopentanoic acid
HMDB00873	C7H8O2	124.0524295	ZBCATMYQYDCTIZ-UHFFFAOYSA-N	1S/C7H8O2/c1-5-2-3-6(8)7(9)4-5/h2-4,8-9H,1H3	CC1=CC(O)=C(O)C=C1	4-Methylcatechol
HMDB00666	C7H14O2	130.0993797	MNWFXJYAOYHMED-UHFFFAOYSA-N	1S/C7H14O2/c1-2-3-4-5-6-7(8)9/h2-6H2,1H3,(H,8,9)	CCCCCCC(O)=O	Heptanoic acid
HMDB31518	C4H6O5	134.0215233	BJEPYKJPYRNKOW-UWTATZPHSA-N	1S/C4H6O5/c5-2(4(8)9)1-3(6)7/h2,5H,1H2,(H,6,7)(H,8,9)/t2-/m1/s1	O[C@H](CC(O)=O)C(O)=O	D-Malic acid
HMDB00469	C5H6N2O3	142.0378421	JDBGXEHEIRGOBU-UHFFFAOYSA-N	1S/C5H6N2O3/c8-2-3-1-6-5(10)7-4(3)9/h1,8H,2H2,(H2,6,7,9,10)	OCC1=CNC(=O)NC1=O	5-Hydroxymethyluracil
HMDB11600	C6H7N5	149.0701452	FSASIHFSFGAIJM-UHFFFAOYSA-N	1S/C6H7N5/c1-11-3-10-5(7)4-6(11)9-2-8-4/h2-3H,7H2,1H3	CN1C=NC(N)=C2N=CN=C12	3-Methyladenine
HMDB00177	C6H9N3O2	155.0694765	HNDVDQJCIGZPNO-YFKPBYRVSA-N	1S/C6H9N3O2/c7-5(6(10)11)1-4-2-8-3-9-4/h2-3,5H,1,7H2,(H,8,9)(H,10,11)/t5-/m0/s1	N[C@@H](CC1=CNC=N1)C(O)=O	L-Histidine
HMDB00849	C6H12O5	164.0684735	SHZGCJCMOBCMKK-JFNONXLTSA-N	1S/C6H12O5/c1-2-3(7)4(8)5(9)6(10)11-2/h2-10H,1H3/t2-,3-,4+,5+,6?/m0/s1	C[C@@H]1OC(O)[C@H](O)[C@H](O)[C@H]1O	Rhamnose
HMDB02520	C3H9O6P	172.0136745	DHCLVCXQIBBOPH-UHFFFAOYSA-N	1S/C3H9O6P/c4-1-3(2-5)9-10(6,7)8/h3-5H,1-2H2,(H2,6,7,8)	OCC(CO)OP(O)(O)=O	Beta-Glycerophosphoric acid
HMDB01015	C6H11NO3S	177.0459639	PYUSHNKNPOHWEZ-RXMQYKEDSA-N	1S/C6H11NO3S/c1-11-3-2-5(6(9)10)7-4-8/h4-5H,2-3H2,1H3,(H,7,8)(H,9,10)/t5-/m1/s1	CSCC[C@@H](NC=O)C(O)=O	N-Formyl-L-methionine
HMDB02825	C7H8N4O2	180.0647255	YAPQBXQYLJRXSA-UHFFFAOYSA-N	1S/C7H8N4O2/c1-10-3-8-5-4(10)6(12)9-7(13)11(5)2/h3H,1-2H3,(H,9,12,13)	CN1C=NC2=C1C(=O)NC(=O)N2C	Theobromine
HMDB01138	C7H11NO5	189.0637225	RFMMMVDNIPUKGG-UHFFFAOYSA-N	1S/C7H11NO5/c1-4(9)8-5(7(12)13)2-3-6(10)11/h5H,2-3H2,1H3,(H,8,9)(H,10,11)(H,12,13)	CC(=O)NC(CCC(O)=O)C(O)=O	N-Acetylglutamic acid
HMDB60484	C11H9NO3	203.0582432	RSTKLPZEZYGQPY-UHFFFAOYSA-N	1S/C11H9NO3/c13-10(11(14)15)5-7-6-12-9-4-2-1-3-8(7)9/h1-4,6,12H,5H2,(H,14,15)	OC(=O)C(=O)CC1=CNC2=CC=CC=C12	Indolepyruvate
HMDB00215	C8H15NO6	221.0899372	OVRNDRQMDRJTHS-RTRLPJTCSA-N	1S/C8H15NO6/c1-3(11)9-5-7(13)6(12)4(2-10)15-8(5)14/h4-8,10,12-14H,2H2,1H3,(H,9,11)/t4-,5-,6-,7-,8?/m1/s1	CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O	N-Acetyl-D-glucosamine
HMDB01347	C5H12O7P2	246.0058258	NUHSROFQTUXZQQ-UHFFFAOYSA-N	1S/C5H12O7P2/c1-5(2)3-4-11-14(9,10)12-13(6,7)8/h1,3-4H2,2H3,(H,9,10)(H2,6,7,8)	CC(=C)CCOP(O)(=O)OP(O)(O)=O	Isopentenyl pyrophosphate
HMDB02259	C17H34O2	270.2558803	KEMQGTRYUADPNZ-UHFFFAOYSA-N	1S/C17H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17(18)19/h2-16H2,1H3,(H,18,19)	CCCCCCCCCCCCCCCCC(O)=O	Heptadecanoic acid
YMDB00221	C9H13N2O8P	308.0409519	JSRLJPSBLDHEIO-SHYZEUOFSA-N	1S/C9H13N2O8P/c12-5-3-8(11-2-1-7(13)10-9(11)14)19-6(5)4-18-20(15,16)17/h1-2,5-6,8,12H,3-4H2,(H,10,13,14)(H2,15,16,17)/t5-,6+,8+/m0/s1	0	0
HMDB00258	C12H22O11	342.1162115	CZMRCDWAGMRECN-UGDNZRGBSA-N	1S/C12H22O11/c13-1-4-6(16)8(18)9(19)11(21-4)23-12(3-15)10(20)7(17)5(2-14)22-12/h4-11,13-20H,1-3H2/t4-,5-,6-,7-,8+,9-,10+,11-,12+/m1/s1	OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O	Sucrose
HMDB00032	C27H44O	384.339216	UCTLRSWJYQTBFZ-DDPQNLDTSA-N	1S/C27H44O/c1-18(2)7-6-8-19(3)23-11-12-24-22-10-9-20-17-21(28)13-15-26(20,4)25(22)14-16-27(23,24)5/h9-10,18-19,21,23-25,28H,6-8,11-17H2,1-5H3/t19-,21+,23-,24+,25+,26+,27-/m1/s1	[H][C@@]12CC[C@H]([C@H](C)CCCC(C)C)[C@@]1(C)CC[C@@]1([H])C2=CC=C2C[C@@H](O)CC[C@]12C	7-Dehydrocholesterol
HMDB03822	C29H48O2	428.3654308	XUGISPSHIFXEHZ-JUTJDYIZSA-N	1S/C29H48O2/c1-19(2)8-7-9-20(3)25-12-13-26-24-11-10-22-18-23(31-21(4)30)14-16-28(22,5)27(24)15-17-29(25,26)6/h10,19-20,23-27H,7-9,11-18H2,1-6H3/t20-,23+,24?,25?,26?,27?,28+,29-/m1/s1	CC(C)CCC[C@@H](C)C1CCC2C3CC=C4C[C@H](CC[C@]4(C)C3CC[C@]12C)OC(C)=O	Cholesteryl acetate
HMDB00189	C10H15N4O14P3	507.9797607	HAEJPQIATWHALX-KQYNXXCUSA-N	1S/C10H15N4O14P3/c15-6-4(1-25-30(21,22)28-31(23,24)27-29(18,19)20)26-10(7(6)16)14-3-13-5-8(14)11-2-12-9(5)17/h2-4,6-7,10,15-16H,1H2,(H,21,22)(H,23,24)(H,11,12,17)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1	O[C@@H]1[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CN=C2O	Inosine triphosphate
HMDB00918	C45H78O2	650.6001817	RJECHNNFRHZQKU-RMUVNZEASA-N	1S/C45H78O2/c1-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-25-43(46)47-38-30-32-44(5)37(34-38)26-27-39-41-29-28-40(36(4)24-22-23-35(2)3)45(41,6)33-31-42(39)44/h14-15,26,35-36,38-42H,7-13,16-25,27-34H2,1-6H3/b15-14-/t36-,38+,39+,40-,41+,42+,44+,45-/m1/s1	CCCCCCCC\C=C/CCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@@]3([H])[C@]4([H])CC[C@]([H])([C@H](C)CCCC(C)C)[C@@]4(C)CC[C@]23[H])C1	CE(18:1(9Z))
HMDB31526	C5H10O	86.07316494	BYGQBDHUGHBGMD-UHFFFAOYNA-N	1/C5H10O/c1-3-5(2)4-6/h4-5H,3H2,1-2H3	CCC(C)C=O	(ѩ-2-Methylbutanal
HMDB01259	C4H6O3	102.0316941	UIUJIQZEACWQSV-UHFFFAOYSA-N	1S/C4H6O3/c5-3-1-2-4(6)7/h3H,1-2H2,(H,6,7)	OC(=O)CCC=O	Succinic acid semialdehyde
HMDB02434	C6H6O2	110.0367794	QIGBRXMKCJKVMJ-UHFFFAOYSA-N	1S/C6H6O2/c7-5-1-2-6(8)4-3-5/h1-4,7-8H	OC1=CC=C(O)C=C1	Hydroquinone
HMDB13716	C5H11NO2	117.0789786	SNDPXSYFESPGGJ-SCSAIBSYSA-N	1S/C5H11NO2/c1-2-3-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)/t4-/m1/s1	CCC[C@@H](N)C(O)=O	Norvaline
HMDB01398	C7H8O2	124.0524295	LHGVFZTZFXWLCP-UHFFFAOYSA-N	1S/C7H8O2/c1-9-7-5-3-2-4-6(7)8/h2-5,8H,1H3	COC1=CC=CC=C1O	Guaiacol
HMDB02064	C6H14N2O	130.1106131	KLZGKIDSEJWEDW-UHFFFAOYSA-N	1S/C6H14N2O/c1-6(9)8-5-3-2-4-7/h2-5,7H2,1H3,(H,8,9)	CC(=O)NCCCCN	N-Acetylputrescine
HMDB03224	C5H10O4	134.0579088	PDWIQYODPROSQH-WISUUJSJSA-N	1S/C5H10O4/c6-2-4-3(7)1-5(8)9-4/h3-8H,1-2H2/t3-,4+,5+/m1/s1	OC[C@@H]1O[C@H](O)C[C@H]1O	Deoxyribose
HMDB00482	C8H16O2	144.1150298	WWZKQHOCKIZLMA-UHFFFAOYSA-N	1S/C8H16O2/c1-2-3-4-5-6-7-8(9)10/h2-7H2,1H3,(H,9,10)	CCCCCCCC(O)=O	Caprylic acid
HMDB00956	C4H6O6	150.0164379	FEWJPZIEWOKRBE-JCYAYHJZSA-N	1S/C4H6O6/c5-1(3(7)8)2(6)4(9)10/h1-2,5-6H,(H,7,8)(H,9,10)/t1-,2-/m1/s1	O[C@H]([C@@H](O)C(O)=O)C(O)=O	Tartaric acid
HMDB00226	C5H4N2O4	156.0171066	PXQPEWDEAKTCGB-UHFFFAOYSA-N	1S/C5H4N2O4/c8-3-1-2(4(9)10)6-5(11)7-3/h1H,(H,9,10)(H2,6,7,8,11)	OC(=O)C1=CC(=O)NC(=O)N1	Orotic acid
YMDB00294	C6H12O5	164.0684735	VRYALKFFQXWPIH-PBXRRBTRSA-N	1S/C6H12O5/c7-2-1-4(9)6(11)5(10)3-8/h2,4-6,8-11H,1,3H2/t4-,5-,6+/m1/s1	0	0
YMDB00390	C7H8O5	172.0371734	SLWWJZMPHJJOPH-PHDIDXHHSA-N	1S/C7H8O5/c8-4-1-3(7(11)12)2-5(9)6(4)10/h1,5-6,9-10H,2H2,(H,11,12)/t5-,6-/m1/s1	0	0
HMDB00078	C5H10N2O3S	178.0412129	ZUKPVRWZDMRIEO-VKHMYHEASA-N	1S/C5H10N2O3S/c6-3(2-11)5(10)7-1-4(8)9/h3,11H,1-2,6H2,(H,7,10)(H,8,9)/t3-/m0/s1	N[C@@H](CS)C(=O)NCC(O)=O	Cysteinylglycine
HMDB00158	C9H11NO3	181.0738932	OUYCCCASQSFEME-QMMMGPOBSA-N	1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1	N[C@@H](CC1=CC=C(O)C=C1)C(O)=O	L-Tyrosine
HMDB29738	C11H11NO2	189.0789786	KTHADMDGDNYQRX-UHFFFAOYSA-N	1S/C11H11NO2/c1-14-11(13)6-8-7-12-10-5-3-2-4-9(8)10/h2-5,7,12H,6H2,1H3	COC(=O)CC1=CNC2=C1C=CC=C2	Indole-3-methyl acetate
HMDB13318	C11H13N3O	203.1058621	JLSKPBDKNIXMBS-UHFFFAOYSA-N	1S/C11H13N3O/c12-9(11(13)15)5-7-6-14-10-4-2-1-3-8(7)10/h1-4,6,9,14H,5,12H2,(H2,13,15)	NC(CC1=CNC2=CC=CC=C12)C(N)=O	Tryptophanamide
HMDB00853	C8H15NO6	221.0899372	OVRNDRQMDRJTHS-JAJWTYFOSA-N	1S/C8H15NO6/c1-3(11)9-5-7(13)6(12)4(2-10)15-8(5)14/h4-8,10,12-14H,2H2,1H3,(H,9,11)/t4-,5-,6+,7-,8-/m1/s1	CC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@H](O)[C@@H]1O	N-Acetyl-b-D-galactosamine
YMDB00095	C5H12O7P2	246.0058258	CBIDRCWHNCKSTO-UHFFFAOYSA-N	1S/C5H12O7P2/c1-5(2)3-4-11-14(9,10)12-13(6,7)8/h3H,4H2,1-2H3,(H,9,10)(H2,6,7,8)	0	0
HMDB00429	C18H24O2	272.17763	VOXZDWNPVJITMN-SFFUCWETSA-N	1S/C18H24O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h3,5,10,14-17,19-20H,2,4,6-9H2,1H3/t14-,15-,16+,17-,18+/m1/s1	[H][C@@]12CC[C@@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3	17a-Estradiol
HMDB00230	C11H19NO9	309.1059812	SQVRNKJHWKZAKO-PFQGKNLYSA-N	1S/C11H19NO9/c1-4(14)12-7-5(15)2-11(20,10(18)19)21-9(7)8(17)6(16)3-13/h5-9,13,15-17,20H,2-3H2,1H3,(H,12,14)(H,18,19)/t5-,6+,7+,8+,9+,11-/m0/s1	CC(=O)N[C@@H]1[C@@H](O)C[C@](O)(O[C@H]1[C@H](O)[C@H](O)CO)C(O)=O	N-Acetylneuraminic acid
HMDB00975	C12H22O11	342.1162115	HDTRYLNUVZCQOY-LIZSDCNHSA-N	1S/C12H22O11/c13-1-3-5(15)7(17)9(19)11(21-3)23-12-10(20)8(18)6(16)4(2-14)22-12/h3-20H,1-2H2/t3-,4-,5-,6-,7+,8+,9-,10-,11-,12-/m1/s1	OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O	Trehalose
HMDB02719	C27H44O	384.339216	AVSXSVCZWQODGV-DPAQBDIFSA-N	1S/C27H44O/c1-18(2)7-6-8-19(3)23-11-12-24-22-10-9-20-17-21(28)13-15-26(20,4)25(22)14-16-27(23,24)5/h7,9,19,21-25,28H,6,8,10-17H2,1-5H3/t19-,21+,22+,23-,24+,25+,26+,27-/m1/s1	[H][C@@]12CC[C@H]([C@H](C)CCC=C(C)C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C	Desmosterol
HMDB01893	C29H50O2	430.3810808	GVJHHUAWPYXKBD-IEOSBIPESA-N	1S/C29H50O2/c1-20(2)12-9-13-21(3)14-10-15-22(4)16-11-18-29(8)19-17-26-25(7)27(30)23(5)24(6)28(26)31-29/h20-22,30H,9-19H2,1-8H3/t21-,22-,29-/m1/s1	CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C	Alpha-Tocopherol
HMDB01273	C10H16N5O14P3	522.9906598	XKMLYUALXHKNFT-UUOKFMHZSA-N	1S/C10H16N5O14P3/c11-10-13-7-4(8(18)14-10)12-2-15(7)9-6(17)5(16)3(27-9)1-26-31(22,23)29-32(24,25)28-30(19,20)21/h2-3,5-6,9,16-17H,1H2,(H,22,23)(H,24,25)(H2,19,20,21)(H3,11,13,14,18)/t3-,5-,6-,9-/m1/s1	NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]2O)C(=O)N1	Guanosine triphosphate
HMDB00265	C15H12I3NO4	650.7900381	AUYYCJSJGJYCDS-LBPRGKRZSA-N	1S/C15H12I3NO4/c16-9-6-8(1-2-13(9)20)23-14-10(17)3-7(4-11(14)18)5-12(19)15(21)22/h1-4,6,12,20H,5,19H2,(H,21,22)/t12-/m0/s1	N[C@@H](CC1=CC(I)=C(OC2=CC=C(O)C(I)=C2)C(I)=C1)C(O)=O	Liothyronine
HMDB00243	C3H4O3	88.01604399	LCTONWCANYUPML-UHFFFAOYSA-N	1S/C3H4O3/c1-2(4)3(5)6/h1H3,(H,5,6)	CC(=O)C(O)=O	Pyruvic acid
HMDB00892	C5H10O2	102.0680796	NQPDZGIKBAWPEJ-UHFFFAOYSA-N	1S/C5H10O2/c1-2-3-4-5(6)7/h2-4H2,1H3,(H,6,7)	CCCCC(O)=O	Valeric acid
HMDB04230	C5H5NO2	111.0320284	WRHZVMBBRYBTKZ-UHFFFAOYSA-N	1S/C5H5NO2/c7-5(8)4-2-1-3-6-4/h1-3,6H,(H,7,8)	OC(=O)C1=CC=CN1	Pyrrole-2-carboxylic acid
HMDB31522	C3H2O5	117.9902232	XEEVLJKYYUVTRC-UHFFFAOYSA-N	1S/C3H2O5/c4-1(2(5)6)3(7)8/h(H,5,6)(H,7,8)	OC(=O)C(=O)C(O)=O	Mesoxalic acid
HMDB59712	C7H8O2	124.0524295	OKVJCVWFVRATSG-UHFFFAOYSA-N	1S/C7H8O2/c8-5-6-2-1-3-7(9)4-6/h1-4,8-9H,5H2	OCC1=CC=CC(O)=C1	3-Hydroxybenzyl alcohol
HMDB00725	C5H9NO3	131.0582432	PMMYEEVYMWASQN-DMTCNVIQSA-N	1S/C5H9NO3/c7-3-1-4(5(8)9)6-2-3/h3-4,6-7H,1-2H2,(H,8,9)/t3-,4+/m1/s1	O[C@H]1CN[C@@H](C1)C(O)=O	4-Hydroxyproline
HMDB00742	C4H9NO2S	135.0353992	FFFHZYDWPBMWHY-UHFFFAOYSA-N	1S/C4H9NO2S/c5-3(1-2-8)4(6)7/h3,8H,1-2,5H2,(H,6,7)	NC(CCS)C(O)=O	Homocysteine
HMDB03681	C6H11NO3	145.0738932	UZTFMUBKZQVKLK-UHFFFAOYSA-N	1S/C6H11NO3/c1-5(8)7-4-2-3-6(9)10/h2-4H2,1H3,(H,7,8)(H,9,10)	CC(=O)NCCCC(O)=O	4-Acetamidobutanoic acid
HMDB37115	C5H10O3S	150.0350649	ONFOSYPQQXJWGS-UHFFFAOYNA-N	1/C5H10O3S/c1-9-3-2-4(6)5(7)8/h4,6H,2-3H2,1H3,(H,7,8)	CSCCC(O)C(O)=O	(ѩ-2-Hydroxy-4-(methylthio)butanoic acid
HMDB00528	C5H6N2O4	158.0327567	UFIVEPVSAGBUSI-UHFFFAOYSA-N	1S/C5H6N2O4/c8-3-1-2(4(9)10)6-5(11)7-3/h2H,1H2,(H,9,10)(H2,6,7,8,11)	OC(=O)C1CC(=O)NC(=O)N1	4,5-Dihydroorotic acid
HMDB00159	C9H11NO2	165.0789786	COLNVLDHVKWLRT-QMMMGPOBSA-N	1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m0/s1	N[C@@H](CC1=CC=CC=C1)C(O)=O	L-Phenylalanine
HMDB00511	C10H20O2	172.1463299	GHVNFZFCNZKVNT-UHFFFAOYSA-N	1S/C10H20O2/c1-2-3-4-5-6-7-8-9-10(11)12/h2-9H2,1H3,(H,11,12)	CCCCCCCCCC(O)=O	Capric acid
HMDB00150	C6H10O6	178.0477381	PHOQVHQSTUBQQK-SQOUGZDYSA-N	1S/C6H10O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-5,7-10H,1H2/t2-,3-,4+,5-/m1/s1	OC[C@H]1OC(=O)[C@H](O)[C@@H](O)[C@@H]1O	Gluconolactone
HMDB00118	C9H10O4	182.0579088	QRMZSPFSDQBLIX-UHFFFAOYSA-N	1S/C9H10O4/c1-13-8-4-6(5-9(11)12)2-3-7(8)10/h2-4,10H,5H2,1H3,(H,11,12)	COC1=CC(CC(O)=O)=CC=C1O	Homovanillic acid
HMDB01370	C7H14N2O4	190.0953569	GMKMEZVLHJARHF-WHFBIAKZSA-N	1S/C7H14N2O4/c8-4(6(10)11)2-1-3-5(9)7(12)13/h4-5H,1-3,8-9H2,(H,10,11)(H,12,13)/t4-,5-/m0/s1	N[C@@H](CCC[C@H](N)C(O)=O)C(O)=O	Diaminopimelic acid
HMDB00201	C9H17NO4	203.115758	RDHQFKQIGNGIED-UHFFFAOYSA-N	1S/C9H17NO4/c1-7(11)14-8(5-9(12)13)6-10(2,3)4/h8H,5-6H2,1-4H3	CC(=O)OC(CC([O-])=O)C[N+](C)(C)C	L-Acetylcarnitine
